Store,Year,IsHoliday,Weekly_Sales
1,2010,False,21168.082937262356
1,2010,True,22551.784843205576
1,2011,False,21595.183143189755
1,2011,True,23175.41224137931
1,2012,False,22102.36027995903
1,2012,True,23727.703835616438
2,2010,False,27672.536949044585
2,2010,True,29118.39642361111
2,2011,False,26229.546478627508
2,2011,True,28980.93475862069
2,2012,False,26385.63010554988
2,2012,True,27792.359375
3,2010,False,6119.4045542774975
3,2010,True,6830.299722222222
3,2011,False,6290.5595639246785
3,2011,True,7017.204624505929
3,2012,False,6608.680531996916
3,2012,True,6886.8921875
4,2010,False,27536.22411262259
4,2010,True,29583.789006849318
4,2011,False,29644.583238206174
4,2011,True,32044.118931034485
4,2012,False,29922.516569491523
4,2012,True,31032.86455172414
5,2010,False,4898.296571845368
5,2010,True,5531.108543307087
5,2011,False,4918.120252790544
5,2011,True,5731.637346153846
5,2012,False,5238.7978763127185
5,2012,True,5554.672936507936
6,2010,False,22448.0988704
6,2010,True,23726.356912280702
6,2011,False,21446.138006982834
6,2011,True,23511.678
6,2012,False,21545.890051229508
6,2012,True,22114.25294520548
7,2010,False,7630.010831393415
7,2010,True,9509.549202898552
7,2011,False,8522.782284045496
7,2011,True,10568.452338129497
7,2012,False,8611.248363571682
7,2012,True,8476.914744525548
8,2010,False,12912.034325566132
8,2010,True,13840.524193548386
8,2011,False,13136.733373530298
8,2011,True,14166.33654676259
8,2012,False,13150.038567901236
8,2012,True,14054.39417266187
9,2010,False,8550.435938668661
9,2010,True,9246.343102040817
9,2011,False,8742.873678773742
9,2011,True,9602.375450980393
9,2012,False,8881.371706271913
9,2012,True,9404.387279999999
10,2010,False,26768.971632398752
10,2010,True,29360.148694158073
10,2011,False,26106.45577089962
10,2011,True,29885.78324137931
10,2012,False,25410.991060191518
10,2012,True,27460.692867132868
11,2010,False,19400.189074315513
11,2010,True,20630.784712230216
11,2011,False,19145.35633698549
11,2011,True,20451.967038327526
11,2012,False,19005.22114089347
11,2012,True,20273.747605633806
12,2010,False,14746.565965030262
12,2010,True,16595.943676470586
12,2011,False,14760.76778908418
12,2011,True,17137.565927272728
12,2012,False,14681.058406417113
12,2012,True,15841.741838235295
13,2010,False,26893.68541409147
13,2010,True,27948.371016949153
13,2011,False,27325.997606155597
13,2011,True,29224.958547297298
13,2012,False,27582.73382608696
13,2012,True,28615.41135135135
14,2010,False,31357.73419844861
14,2010,True,30147.902749999997
14,2011,False,28945.158259964304
14,2011,True,31144.144078014186
14,2012,False,25497.962401943772
14,2012,True,28239.493475177307
15,2010,False,9557.387399605004
15,2010,True,10710.341899641577
15,2011,False,8843.471039975953
15,2011,True,10143.250886524822
15,2012,False,8328.766373897708
15,2012,True,8681.986
16,2010,False,7944.865626986931
16,2010,True,8504.631178707225
16,2011,False,7957.242068746023
16,2011,True,8831.06901459854
16,2012,False,7540.765023239184
16,2012,True,7433.129044117647
17,2010,False,12469.433168943684
17,2010,True,13445.808394160584
17,2011,False,12821.590247883918
17,2011,True,14258.13340501792
17,2012,False,13320.383952513967
17,2012,True,15476.804275362321
18,2010,False,17011.178323373173
18,2010,True,17239.08432727273
18,2011,False,15034.74140297601
18,2011,True,17121.224254545454
18,2012,False,14899.944151536312
18,2012,True,16036.691071428571
19,2010,False,21145.051287539936
19,2010,True,22443.923192982456
19,2011,False,20136.623952941176
19,2011,True,22376.76750877193
19,2012,False,19364.747774715812
19,2012,True,20666.003379310343
20,2010,False,29730.705306905373
20,2010,True,30437.05407665505
20,2011,False,29277.158396857725
20,2011,True,31654.32628865979
20,2012,False,29147.027354750517
20,2012,True,31334.533379310345
21,2010,False,11607.052960325535
21,2010,True,12789.131917293233
21,2011,False,11513.414716744915
21,2011,True,12776.014518518517
21,2012,False,10418.499505057804
21,2012,True,10548.35880597015
22,2010,False,15583.730418200066
22,2010,True,15640.548138686132
22,2011,False,15191.370446234892
22,2011,True,16723.835793357932
22,2012,False,14550.350773638967
22,2012,True,15045.013851851852
23,2010,False,20160.766953685583
23,2010,True,21209.330323741007
23,2011,False,19445.88420111404
23,2011,True,20854.816771929825
23,2012,False,19512.85201115371
23,2012,True,19756.073262411348
24,2010,False,19493.343766773163
24,2010,True,20404.452256944445
24,2011,False,18577.882693201627
24,2011,True,20740.15446366782
24,2012,False,18502.828126064735
24,2012,True,20004.13625
25,2010,False,10687.52363575939
25,2010,True,10749.130397111914
25,2011,False,10138.526512617816
25,2011,True,11191.275434782608
25,2012,False,10003.56604973357
25,2012,True,9641.067246376811
26,2010,False,14678.858584247257
26,2010,True,15465.24652014652
26,2011,False,14410.65394140743
26,2011,True,15374.384822695034
26,2012,False,14386.170116320056
26,2012,True,15231.546971830985
27,2010,False,26247.35096969697
27,2010,True,27114.84659649123
27,2011,False,24496.79559918557
27,2011,True,26561.037655172415
27,2012,False,23330.206457551998
27,2012,True,24253.892916666668
28,2010,False,18984.264798711756
28,2010,True,20393.78576923077
28,2011,False,18646.475648584907
28,2011,True,20582.450104529617
28,2012,False,18029.740320689656
28,2012,True,21277.343636363636
29,2010,False,8422.63613347093
29,2010,True,9187.403917910447
29,2011,False,7996.742911949686
29,2011,True,9440.834232209738
29,2012,False,7836.1961925925925
29,2012,True,8170.315037593984
30,2010,False,9178.344431137726
30,2010,True,9249.494234693879
30,2011,False,8416.654891259745
30,2011,True,8438.18404040404
30,2012,False,8736.93576585366
30,2012,True,8508.959230769231
31,2010,False,19070.082752557544
31,2010,True,20733.522491228072
31,2011,False,19989.35862647059
31,2011,True,21621.624355400698
31,2012,False,19668.256390614217
31,2012,True,20040.279166666667
32,2010,False,16010.357178673437
32,2010,True,16466.323645833334
32,2011,False,16464.258090643274
32,2011,True,17620.387447552446
32,2012,False,16480.78489704873
32,2012,True,15776.984685314686
33,2010,False,6149.432755369304
33,2010,True,5939.694393063583
33,2011,False,5397.484149321267
33,2011,True,5504.795187165775
33,2012,False,5674.4489138381205
33,2012,True,6118.079139784946
34,2010,False,13248.810618101545
